instructions,cycles,cpu_clock,cpu_migrations,branches,branch_misses,branch_ratio,context_switches,cache_references,cache_misses,mem_loads,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_store_misses,LLC_loads,thread,seconds,workload,class,app,GFlops,Band,IA,MIPS,Instructions_per_cycle,dwarfs,instructions_per_loads,instructions_per_stores,instructions_per_branches,instructions_per_cache_misses,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17430352234,6036128260,1352.26,1,104374454,714739,146.031563969505,8,102304157,98524,0,3097192233,4959707395,108019518,2034180,52,4370282,1,1.47,W,CPU,bt,5.11045,0.03213,159.05539,11857.3824721088,2.88767095118022,DLA,3988.38158132587,8568.73641172364,166.998260263953,176914.784560107,0.250728266493389,0.116703321464272,45.9149187742163,6.19720798236624,0.006847834624361,0.041005424928007,0.00565243884216
17576234867,6107377798,1346.53,1,105639334,722066,146.301493215302,5,103301881,9643,0,3083989213,4932913721,109107335,2148159,3295,4155559,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12291.0733335664,2.87786926702909,DLA,4229.57172957958,8181.99903591866,166.379644792157,1822693.65000519,0.2364305570246,0.122219520634265,45.2115682323283,6.20766255262399,0.00683520022949,0.041081949886531,0.000548638549324
17663194488,6113869065,1342.85,1,105500253,698411,151.057547776309,8,102875098,28254,0,3079732662,4934182024,109715636,2121703,3359,4062589,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12438.8693577465,2.8890370893149,DLA,4347.76800902085,8325.00801855868,167.423242937626,625157.304735613,0.230003072363837,0.120120004421705,44.9724597504042,6.21153982506044,0.006619993603238,0.039540469334383,0.001599597401206
17630575230,6129913038,1347.79,1,105781456,711494,148.675120239946,6,103194170,14421,0,3076936587,4924345368,107251941,2101109,3480,4703354,1,1.44,W,CPU,bt,5.11045,0.03213,159.05539,12243.4550208333,2.87615421633327,DLA,3748.51121773951,8391.08072451263,166.669810538437,1222562.59829415,0.266772577674994,0.119174160377069,45.9138111822144,6.08329221258199,0.006726074936991,0.040355688383288,0.000817954026563
17646639038,6076608069,1355.45,1,104623099,729750,143.368412470024,6,103211823,163353,0,3093117951,4954114375,109537661,2369209,20,4133492,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12340.3070195804,2.90402784540686,DLA,4269.18427276501,7448.32517435144,168.668670749277,108027.639761743,0.234236785322066,0.134258370384195,45.2274982848137,6.20728178120056,0.006975037128273,0.04135348371033,0.009256890201485
17642844512,6105916197,1342.8,1,105407805,728658,144.660190377379,6,100876963,13919,0,3092738712,4932465641,107914976,2023755,3378,4030633,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12424.5383887324,2.88946718932507,DLA,4377.18951638614,8717.87568752146,167.377022147459,1267536.78511387,0.22845709473087,0.114706843254415,45.7069613859711,6.11664269481037,0.006912751859314,0.041300483009097,0.0007889317389
17620534320,6111737381,1342.75,1,104769900,697481,150.21183372737,7,106785598,11778,0,3087133887,4934383199,112197876,2610250,3255,4284651,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12322.051972028,2.88306470346357,DLA,4112.47831386967,6750.51597356575,168.183173984131,1496054.87519103,0.243162376474404,0.148136824491029,43.9792924333077,6.36745026923792,0.006657265111449,0.039583419397693,0.00066842467919
17643425975,6109926769,1342.4,1,104877471,691376,151.693826514082,6,102107729,10804,0,3085927313,4931341872,109785742,2107611,2783,4118517,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12424.9478697183,2.88766570239723,DLA,4283.92695113314,8371.29146460139,168.228941895443,1633045.72149204,0.233430684371378,0.119455881356965,44.9178716850135,6.22247301377645,0.006592226084475,0.039186040227088,0.000612352726466
17611438698,6117942427,1349.27,1,105691603,763300,138.466661862963,6,103316310,10665,0,3079287552,4924956725,109050018,2169444,133,4234184,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12402.4216183099,2.87865387883945,DLA,4159.34657020101,8117.95035870942,166.630443650287,1651330.39831224,0.240422379602687,0.123183803277035,45.1623650809484,6.19199940845174,0.007221954992962,0.043341149640812,0.000605572331874
17628237939,6104918273,1345.98,1,105016458,715294,146.815796022335,7,103560672,34358,0,3087860965,4933443643,109119866,2094469,42,4287873,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12414.2520697183,2.8875469172067,DLA,4111.18471535887,8416.56665197719,167.861669253785,513075.206327493,0.243238888358415,0.118813293038568,45.2112325999374,6.19006087718998,0.006811256193767,0.040576602294295,0.001949032008695
17726995381,6105581280,1353.53,1,103991314,710871,146.287180093153,7,101818408,171140,0,3094164975,4959055953,109723528,2205547,420,3984126,1,1.44,W,CPU,bt,5.11045,0.03213,159.05539,12310.4134590278,2.90340830267352,DLA,4449.40631420793,8037.45981427737,170.466115862331,103581.835812785,0.224749085469398,0.124417418327075,45.1959214526897,6.18962918654579,0.006835869003444,0.040101042772422,0.00965420232373
17596705880,6123987047,1349.08,1,104998408,769754,136.40514761859,8,105780233,20633,0,3089450635,4941024808,111217400,2253593,1177,3994375,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12305.3887272727,2.87340677649216,DLA,4405.37152370521,7808.28919862637,167.590216034514,852842.818785441,0.226995610839862,0.128069026974042,44.4267246671834,6.32035340923707,0.007331101629655,0.043744210152133,0.001172549006655
17599406777,6110544723,1346.46,1,105638332,714421,147.865659044177,6,104337522,13981,0,3086267198,4932745685,111124810,2153590,3212,4182911,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12393.948434507,2.88016986615876,DLA,4207.45427693776,8172.1250456215,166.600574278284,1258808.86753451,0.237673408712076,0.122367192672337,44.3892384157957,6.31412248197052,0.006762895498956,0.040593470510248,0.000794401775989
17732146586,6109367082,1352.22,1,104089403,765042,136.057109282889,7,104452992,147419,0,3090267622,4951124290,108662319,2359214,371,4054851,1,1.44,W,CPU,bt,5.11045,0.03213,159.05539,12313.9906847222,2.902452307743,DLA,4373.06983314553,7516.12468644218,170.35496481808,120283.997218812,0.228672314450717,0.133047287228195,45.5643164582195,6.12798447570876,0.007349854816633,0.043144353465024,0.008313657869059
17624350539,6121472817,1348.15,1,105563672,697256,151.398728730911,6,102175267,18915,0,3082923693,4933462635,105191779,2107671,3283,4054851,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12324.7206566434,2.87910296523008,DLA,4346.48536752645,8362.00267451609,166.954693836342,931765.822839017,0.230070945935127,0.119588576914426,46.8996976940565,5.96854782065453,0.006605075276275,0.03956208193074,0.001073231036692
17620703794,6108140534,1342.28,1,105240606,677153,155.416288490193,6,104404592,13284,0,3084132104,4928489590,108992420,2194241,2928,3969647,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12408.9463338028,2.8847901740173,DLA,4438.85912122665,8030.43229709043,167.432557296373,1326460.68909967,0.225283112775081,0.12452629734047,45.2186453883674,6.18547484108511,0.006434332010593,0.038429395778764,0.000753885892147
17622084213,6173091656,1362.14,1,105530450,717667,147.046541083817,5,104982352,82998,0,3088536741,4931117070,107164389,2168069,111,3967264,1,1.44,W,CPU,bt,5.11045,0.03213,159.05539,12237.55848125,2.85466103453559,DLA,4441.87334470305,8128.00893929114,166.985777214065,212319.383756235,0.225130237266334,0.123031360751335,46.0145120595985,6.08125507202739,0.006800567987723,0.040725432436112,0.004709885561594
